,cluster,review
40,14,does not work rite.  will not play my prime music.  emailed tech support.  no help at all!!!!  am thinking of sending it back to amazon and getting my money back.
41,7,ease of use. nothing found yet i do not like
42,0,espectacular
43,6,crear product
44,7,it is just a lot of fun everyday you find new things to do!!! i really like everything
45,7,"quick response. very knowledgeable, lots of fun.capabilities are incredible"
46,14,"i wish we could play apple music or connect this to our smart tv for an extra speaker.  it is kinda worthless for us, except my kid loves to ask it questions, most of which it can not answer or quotes wikipedia.  it looks nice though, hence at least one star"
47,14,"it is horrifying to know that anyone can ""drop in"" to your house, unannounced, and listen in on your home life. when you sync alexa to your phone it extracts all of your personal contact information so that you can accidentally call your boss and your babysitter or co-worker can listen in on your private home conversations. you can not fix this with blocking the caller. i called amazon customer support and they assured me that they do not share my contacts with others, but the customer service rep admitted that she could see all my contacts on her computer screen. when i asked her to delete the contacts she said all she could do was ""unlink"" them but she could not delete them, saying ""it is just not possible, but do not worry, we will not look at them"". i asked if this information was stored on the alexa device, and if i returned it is the data there? to which she responded ""do not worry, we will not look at it"". that is not reassuring at all. now i do not know whether to return it or not because now my personal data is on this device and if it is returned and sent to another person now they have all my data too...plus it is all in amazon is databases now."
48,7,she is pretty amazing and easy to use!
49,7,alexa is so much fun. sound quality is amazing. set up is super easy. i liked it so much i bought the echo dot as well
50,14,"i do like this product. it was very fun when it was first introduced into the family. i have had it for about one month and it has lost the interest of my family members. it is rarely used unless company comes over and they ask to see what it can do. last night alexa was not responding well and kept telling me to ""try again later"". so i unplugged it and tried again. still not working properly. kind of disappointed with my purchase. but it was fun for a while."
51,14,i like the size and sound of this echo. it does not get quite loud enough though.
52,14,"does the job i want. do not expect great sound from it. the little guy is good; if you want to add logitech gear to it for $35, you are ahead."
53,7,great sound!did not know i needed to pay for the music.great purchase!!!!
54,6,sound quality is excellent.alexa is fun and informative!
55,4,great product!  family loves it!  our second echo!
56,7,i can play any music i am in the mood for.  sound quality is better than my radios i use to use for my music.
57,14,love it !!
58,7,great addition to updating our technology.  ...so much to learn about it yet.
59,7,"this is the best!!! we love it!! works great, we use it a lot for music. the speaker is great and we are very picky about sound. we have it connected to a lamp. it works from upstairs."
60,14,she is a little creepy but otherwise great.  i bought it due to local radio station app but found out it is not live radio rather the type of music they play.
61,14,"the sound is great and omnidirectional, no matter where you are in the room it sounds the same. ive played some music on it but mostly im enjoying my audio books on it. and i hear it with perfect clarity as i move about the room. by comparison i have other speakers but they sound best when its facing you."
62,7,we absolutely love alexa!  so helpful with many aspects of day to day life!
63,4,best investment ever!
64,14,"great smart speaker. my only complaint is that alexa occasionally can not access the network and asks me to try again later. i have her connected to wireless over att gigabit, so it is kind of weird.  i¡¯ve found that leaving the echo plugged in ameliorates the problem. turning the speaker off seems to make it have network issues when i reboot."
65,7,it is not able to get me routes or the weather. sometimes while playing music from my spotify library just stops suddenly.
66,7,"this simply has become a useful household helper and entertainment source. my favorite feature is the shopping list...well, all the lists. i am much more organized and having fun being this way."
67,4,we love it.  my grandson loves to ask it to tell jokes and play music.  husband loves the music. it is really funny when it responds to something said on tv.
68,7,love it
69,14,fun to have around. amazon music pales to itunes but does ok in the voice-on-demand world.
70,14,"sound quality is excellent.  had a difficult time understanding how to get music.  also, in setting up a playlist.  still not sure we know how to use it, as when i go to amazon music to work on my playlist, and then ask the echo to play it, it is not a smooth transition.  more instructions would have been very helpful."
71,14,i did not know i had to belong to prime in order to have echo play music.  i was emailed that i would get a reduced rate for a year to try it out but by the time i saw this invite to do so it was too late for me to respond.
72,14,i love my echo!  i had been asking for one for awhile and finally got one.
73,7,love the speakers and sound. but gives me the weather from another town.
74,4,purchased as a gift for my brother. he loved it so much he purchased one for each room in his house.
75,14,well worth the wait.  i originally bought a dot last year. while the dot was good this new version of the echo surpasses it. great sound quality. seems to have better voice recognition as it responds faster and picks up your voice easier. my only grip with any of the echo are when watching wwe.  when alexa bliss is wrestling my echo is constantly says sorry but i do not understand your request.  lol
76,14,"my mom is echo dot was sometimes frustrating to use, so i got her this as a replacement for christmas. the sound is about on par with the previous generation echo (i own that one) but it is abolity to understand you is greatly improved! no more trying to shout over the music and washing machine. the echo dot is not obselete though; that is just been moved to a less-used room. fully satisfied with the purchase.also, i would like to note that the shell of the device is changable, in case something happens to damage it, it gets old and dirty, or you just want to change things up. i did not realize that before purchasing, which is funny since i am usually very observant about what i buy. this feature makes cleaning the echo less scary, you can just take off the outer shell and clean it if needed, rather than risking pushing dust further into it."
77,14,just received my echo and i¡¯m so in love!! must buy !update: i¡¯ve ordered two more after the first one. amazing
78,14,i love alexa.... this new model does have better sound but it is not close to replacing my stereo or even my even my harmon kardon onyx bluetooth speakers.  but it is perfect when my 3 year old wants to hear something (yes he can tell alexa what he wants all by himself <f0><u+009f><u+0098><u+009c>) or when several of us are together and it is just kind of spontaneous where wants us to hear something and then someone else dose.  it is perfect for those occasions.  also you can listen to podcasts this way or even get a quick roundup of the news..  oh yea and she will even say goodnight! and turn your light off!!
79,14,"before i purchased my echo, i thought it would be a mere novelty item. admittedly, i could survive without it, but it has definitely made my life easier and a bit more fun! alexa has proven herself to be more helpful than i would have imagined.she helps wake me up with her insightful flash briefings, while in the shower (yes, we have a very intimate relationship). she can play just about any song or type of music for me through prime music. she is even a great sous chef, helping me convert measurements, set timers, and update my shopping list. i have her hooked up with my smart lights, so that i can turn the lights off with my voice from bed. she even talks to my tesla and tells it to turn on the heater on cold mornings, so that i have a warm car to get in to. i enjoyed her company so much, that i got her a little sister, the echo dot. now i can talk to alexa in the kitchen and bathroom! i love that they can play music in sync, so that i can walk around my house and hear it from all rooms.all in all, it is a great device, and i know it will keep getting smarter and adding new features, which is awesome. the speaker is surprisingly good for such a small speaker. it obviously will not be able to compete with a large theater system, but for my small apartment, it is perfect. i also love the stylish cover. it looks super classy sitting on my kitchen counter, so i do not feel embarrassed about having a virtual assistant sitting in my kitchen. i had a slight issue with my echo when i got a new router, but i contacted the amazon support people, who were able to help me through it. great support team by the way!"
80,7,it is great
81,7,i like the technology a ai in my home i can make commands and ask questions. i like it!
82,14,"it works ok, alexa is not as smart as the commercials say"
83,6,good sound quality
84,14,my family and i wonder how we got along without the echo.  i had a little trouble connecting to my network but even that was not a major problem.  setup and configuration was a breeze (once connected to the network).  i am going to love playing with this thing.
85,7,"i love her. no, not that way lol.  shes very helpful."
86,7,"it is everything and more than i thought it would be.  i love that alexa starts my day with ""news briefing"" and ""local weather report"" daily.  there is nothing i do not  like about my echo and dot.  love my ai."
87,14,this is the 3rd echo we have purchased. the first with the improved sound. my husband use it in his office and is quite happy with the quality of the sound. he play music on it primarily and enjoys it thoroughly.
88,7,love my echo..... so really awesome
89,14,i love it
90,7,love alexa. very handy.
91,14,i know there is some playing a game when you order a product for prices - especially around the holidays but i am a bit frustrated at amazon.  the echo was on sale for $79.99 - they upped the price to $99.99 - then offered a deal for $50 off three.  i ordered the three and thought - well i missed out on the $79.99.  now i see they are back to $79.99 so  i paid more for getting the discount of three $50.  seems they offer those of us that got the three a credit back.  tempted to return and order at the lower price.
92,14,it is good
93,4,it was gift for my family. we love it. my 14 yo checks the weather in the morning. my 3 year old has song requests all by himself.
94,14,"it is a good speaker to have but the sound lacks low frequency base. also, it randomly turns on by itself and it feels it is listening when it is not supposed to."
95,7,"i love the reminders as well as the ""question of the day""!"
96,14,i love my echo.  it is the 2nd one i bought.
97,6,this is the most useful product i have bought since the first iphone in 2007. speaker sound is outstanding!!!! deep bass. clear and crisp highs and good mids. even at full volume the sound is clear and distinction.
98,6,"better shape and size, better controls with no loss in sound quality."
99,4,love it!!
100,7,"love it, like really love it!"
101,14,gave this 4 stars only because i hate how you can not use the speaker wirelessly...
102,7,i love this!  was so easy to set up.
103,7,i love this little amazing echo! the sound is amazing and cannot wait to experiment more of what it can do
104,14,it sounds great. i only use it for music. i would give it 5 stars if it was rechargeable.
105,14,"it is an expensive play toy. it claims it can read calendar or messages but be aware that is really not the case. as long as you are happy with their apps ok, but i use outlook (not outlook.com). messaging only works for alexa to alexa user. i read where amazon is supposed to add sms to alexa, but that was last august and this is jan and it is still not there.  there are lots of other things i wish it could do that are very basic. however i am finding apps that will provide this functionality (for a charge). this is basic stuff and should have been included in the alexa the getgo."
106,7,mostly love it. although she does not seem to know a lot of the answers to the questions i ask.
107,4,we love alexa
108,14,"this is a review of the list echo i received. love the sound; alexa gets more and more accessible, that is useful. but the sound has an annoying habit of cutting out from time to time for short or even longer lengths of time and sometimes cuts completely off. i tried to get some help from the techs provided but they did not know what to do except uninstall it and then re-install, which did no good. so i sent this one back and got a replacement. in the interim i found out that in the confusion i had signed up for a trial period of amazon unlimited. so when the new one came i changed over to amazon music and, guess what, no cut outs. so i am figuring the problem is with the unlimited. i cut the subscription down to one devise and will use amazon music instead for most of my listening."
109,14,"just what i expected, i strongly recommend."
110,7,great technology. hands free information. great speakers.
111,7,very happy with this purchase and the price. the echo is a lot of fun to use and very helpful for a lot of things. great for turning on and off smart bulbs and smart plugs.
112,7,everything i thought it would be
113,7,works great
114,7,ease of use
115,7,we have it in our kitchen and listen to music all the time.  the sound is great!
116,14,love this guy so much! only rarely does it not understand me and that is the only real complaint i have. i use it in my salon as a stereo and also like it for the timer it has in it. i recommend it for music lovers as that is what i mainly use it for!
117,7,"love it, can not wait to change things in my home to become a smart home."
118,14,sound is very good. i am disappointed in answers. i get referred to other aps instead of direct answers?
119,0,simply amazing!
120,6,excellent product
121,14,i like the smaller size and the choice of textured color sleeves.  the sound seems slightly improved and it is still a hefty little cylinder.  no need to get rid of the original though.  i just moved it to the bathroom for tunes while we shower.
122,14,it worked for about 3 weeks then quitit no longer powers on
123,14,love the sound. love the look not to gouty. only thing not really happy with did not upgrade properly. i had to redo delete and redo the skills on that one did not take over lead spot that well.
124,14,"it is awesome and super easy yo use. my 6 year old daughter uses it everyday to listen to her favorite children is music and books. the sound is a perfect balance of highs and lows; something i would expect from bose. if you are on the fence about buying this, just do it, you will noy be disappointed."
125,14,she always knows what time it is trained in my voice if i speak loud enough. needs fine-tuning that is probably already in the works e.g. understands turn off the lights does not understand turn out the lights well versed in many subjects. more later after using longer time
126,7,i love everything about alexa!
127,4,it was a gift for my daughter-in-law from my son. she loved it.
128,14,"so far, this device lives up to the hype!!! i am a electronic technician, and electronic specialist, when you buy electronics, the company like amazon is will offer a warranty, that is not to waist your money, that is to save you money, if you buy anything electronic more than $10, i would strongly advise you to buy the warranty, i am more than qualified to give this advice, i used to build electronics for a living!!! when i bought this product, i even purchased the warranty!!! god bless you, and please take my advice!"
129,6,great product. would buy again
130,7,really neat item. the sound is really nice.
131,14,"i was under the impression that this would unlock my adt pulse kwikset locks, raise my garage door and all the features except for cameras operate, it does not i see that i need to get echo plus, echo shoe and about 3 echo spots. bought eight of these now i have to return and get the proper echoes, the video for this device is misleading."
132,14,"what is the coolest about alexa (echo) is her prime feature is access to all internet information, plus what we share with her and everything in our devices. so she quickly became a family member that is always focused on our needs and ready to fill them. whenever we know need something, alexa adds it to our shopping list, including giving us amazon buying options and placing orders we approve. alexa keeps our calendar, reminding us to call, pick someone up, get ready for a scheduled call coming in, or wakes us up by calling out name or playing the song we requested at the volume we asked. when we ask, she gives us our shopping list by text or orally. she makes phone calls and texts, pulls up programs we want to watch and whatever music through her formidable room-filling speakers.she is even a good therapist. tells us jokes when we need a little fun. quotes any famous person we can think of. plays any music we have asked so far. gives us meal suggestions and even their recipes!her capacity, alexa is 'engine' is not in our unit. so, as amazon expands her hardware and software- her ability to improve our lives- we do not pay for upgrades. they just surface. alexa is like a child growing up and always able to do more. with coming self-driving cars, she will likely even be able to bring a vehicle to our steps, take the kids to school, us to work or out for evening.she just keeps getting more valuable."
133,4,this was a gift for my daughter.  we absolutely love it.  great purchase.
134,7,so cool!
135,14,it is amazing step up for me from the echo dot to the new echo 2nd gen is amazing! speakers are great! duno why people are giving bad reviews about it. my option is ¡°awesome¡± :))
136,4,this is one
137,7,amazing sound!
138,4,this was a christmas gift for our daughter.  she was thrilled!!  she is 14 and always has music playing.  speaker on it is really good and she loves being able to use it as an alarm clock.
139,6,overall the echo and dot are welcomed addititions to our home. although i was a bit suprised that texting capability with family members is only currently supports android phones. hopefully the developers resolve this limitation.
140,4,my husband and daughter loves this device they use it everyday
141,7,this product met all my expectations
142,7,oh my god its so amazing! i love it!
143,7,i¡¯m very pleased with my echo and i¡¯m learning more cool things on how to use it all the time!!!
144,7,this is my first relationship with alexa so i have nothing to compare it with.  i use her primarily to play music. very nice sound.
145,7,"bought as a gift, but love the echo"
146,14,i like alexa now i do not forget things at the grocery store.
147,6,i love my echo.....the fabric was great really matched my grey sofa well
148,14,i have a lot of echo is....i think i need help.
149,7,i love my echo!  it is easy to set up. the sound is great. best purchase ever.
150,7,playing music.
151,14,"let me count the ways...she turns on and off our christmas lights, sets our alarms, reminders, schedules, to-dos, plays our favorite music and even reads to us.the only way she could get any better is if she had her own plugs and switches. its coming, alexa. its coming!<f0><u+009f><u+0098><u+0089>seriously though, if you have thought about creating a smart home i encourage you to buy one and give it a go. we started with one. we ordered the echo dot, plugged it in for about 10 minutes, fell in love with it, and ordered one echo tower for dining room, master bedroom and my son is room. all the other rooms in the house have dots. my office has dots. my car has a dot. it just really allows us to use technology to our advantage!"
152,14,amazing device with excellent sound and functionality. we keep discovering more.
153,14,"it does wait you want it to do sometimes but i still find,myself using the google because she can not find the answer or its wrong. would i purchase again, probably not."
154,14,product is just used for music and weather and it couldnt be better...ease of use is exactly why we bought it
155,14,it does things on its own at random. like providing the weather report in the middle of playing music without you requesting it. it also is not good at guessing what music you request unless you know the exact song title and artist and sometimes you have to say the artist first and then the title instead of just being attentive. not super impressed so far. worst is that having signed up for amazon music unilited thinking this would be the most integrated service was a total fail. forget requesting songs unless you¡¯re alone. during a dinner party all eight of us tried the same artist and sing with no success and the day before it worked fine so i know it had it in the library. just searching for a song when this happens is not available. also ask yourself. how many times do you know the artist and the song title of something you wanna hear? for me it is close to never. so the guessing/screaming alexa game is never ending.
156,7,"great device and easy to setup, i still have not used a quarter of its capabilities yet. i am still learning about all of its capabilities. so far so good!"
157,7,very good and easy to use
158,14,amazing! my grandchildren liked it so much. they enjoyed listening to alexa. thank you and more power!
159,6,"useful, almost has a personality.  tone, especially mid to high range, not great, lot of bass."
160,7,who knew that we needed alexis?  almost as good as having a butler. the echo was easy to set up even for us non tech people. we are still learning all things the echo can do.
161,7,"we just hooked up our alexa two days ago and we are having fun already.  we are just learning what all we can ask alexa, but she is already becoming a family member.  ha ha  we have gotten interesting information from her, asked stupid questions, been told jokes, gotten the weather report, our schedule, sports scores, started a grocery list.  we love her already.  now....what to buy her for christmas??  i think a thermostat to go with her - that will be nice."
162,4,"this was a gift for my fiancee, everyone loves it. he uses it as an alarm in the morning, to find different  songs he likes, and the grandkids think it is  funny when they ask it to fart.  it is loved by all."
163,4,seamless integration
164,14,my family and i are enjoying our echo! the kids enjoy the jokes and games in which they can play! i love the word of the day as well as they daily questions! such fun!
165,7,great product
166,4,gave as christmas gift they love it
167,14,"i have the google home and comparing this to that.. the echo is terrible. when asked certain questions.. the echo does not know how to answer it, whereas the google home always knows the answer to everything."
168,7,great speakers!
169,14,"great, all good, thank you."
170,14,it is great!!!! my wish is its command. has not let me down so far. excellent best gift i received.
171,14,i like the first generation better than i do this one.  this one is hard to give commands to since i get no reaction sometimes when i tell it to do something.  most time it hesitates before doing what i asked it to do.  thinking about returning it.
172,7,very impressed. does a lot more than i thought it did. have a lot of fun playing kid games with my grandkids.
173,14,this is awesome perfect
174,7,what a great innovation.  i love the functions and music.
175,14,music was fairly clear and strong. alexa was fun to work with. however i also bought a ¡°dot¡± but was not able to sync both to play the same music at the same time.
176,4,parents love it for their house and store!
177,6,better sound quality than mu echo dot.
178,6,this is the best thing since sliced bread. it is even better than i expected.
179,7,it does answer any of my question. it could not even do military time...
180,7,it was easy to setup and easy to use.but it takes some practice to know what how to ask alexa questions.
181,14,most disappointed that there is no portable power source for gen 2.
182,7,"she is weird.  i like the device, but it gives me the creeps sometimes.  we do have many smart bulbs, so that is what we primarily use it for.  that and for basic information."
183,7,got it for my wife for the kitchen. she is still learning to use it but loves what she can do with it already. i have rwo echo dots already and she wanted one too.
184,14,i have only had this for a few weeks now and still getting to know all the features.  a super vast improvement over the older versions that could not answer any questions.  sound quality is good but not great ( much better than the dots).
185,14,we do not use it much but everytime our grandkids come over it is going constantly!
186,7,i love my echo!
187,7,"great sound, actually amazing sound....still trying to figure out what music company i want to go with, (though you do not need one for just basic music). great for reminders and daily weather!"
188,7,i love alexa. trying to connect to sirius xm has not been succesful
189,7,i love everything about it.
190,6,not only informative and helpful but a lot of fun in idle moments.
191,7,i love it!!  love it!!
192,7,"start the day with alexa, weather report, classical music"
193,7,i love the music and timer.
194,7,great speaker
195,7,"i love the music and the quirky things alexa,says."
196,7,great sound!
197,4,absolutely loved it!!
198,7,everything as expected. i love it.
199,6,sounds really goooooouuuuda for a small tube
200,6,ok overall
201,7,met all expectations
202,6,sound is greatly improved over the original echo.
203,7,just love it!
204,6,"sound is great very crisp and clear. also very powerful, i love it."
205,7,"sound quality is great, and she can hear you really well."
206,7,i can not sy much. still experimenting with it.
207,14,the 2nd generations are amazing!! i bought three to utilize the whole home audio and they sound much better than the 1st gen model. can not wait to add more and buy interchangeable shells!!! great job amazon you never disappoint
208,7,awesome. love alexa!
209,6,"sound is decent at best.  i put it in a 14x14 room and when turned up, it is distorted.  i would not recommend.  the echo plus is better."
210,7,perfect assistant
211,14,"i love my echo! easy to set up and i have not had any issues with it whatsoever. only down side is having to keep it plugged in all the time. going to purchase the dot soon, so i do not have to move my echo around the house so much."
212,7,i love listening to npr and making grocery lists! my son and i have fun with animal sounds and nursery rhymes too!
213,7,i love the easy access to my favorite music. the sound is great.
214,14,i purchased an alexa 1st generation after receiving an. echo for a christmas gift. it was a very expensive. i trusted the sound quality would be very good. it is not. very poor instead. my clock radio sounds better. very frustrated and disappointed. buyer beware of gen 1.
215,14,my son got this for me for christmas. at first was not sure i would use it so much. i use it all the time. love this.
216,14,"love our echo.  the speaker has been more impressive than we would have expected.  we have had to unplug and re-plug a couple of times because it becomes detached from our connection but it is easy and works again quickly.  we have automated a large number of lights, fan, thermostat and using alexa to control it has been amazing."
217,7,it is all it was advertised to do and so much more. i use it way more than i thought i would.
218,7,very handy device.  it can do much to simplify controlling information around the home.  still have much to discover and explore
219,7,excelent speaker
220,14,it would not connect to wifi so i returned it after speaking to customer support.
221,7,i love being able to verbually ask alexa anything and she gets me the answer quickly.
222,14,"we have two echos, one for the living room and the other in the bedroom. we mostly listen to npr news and music from various radio stations. we enjoy having them."
223,14,"received this as a christmas gift. i would never have purchased one myself. i love the music i can listen to, other than that, it is useless for us. maybe if we had more smart home features? maybe i just am missing something?"
224,0,it is a great device.  my hugging l husband ordered it but i use it most.  easy set up and use.  <f0><u+009f><u+0092><u+009c>
225,7,great to have around the house
226,14,enough said.
227,14,it would be better if there was a way to delete multiple cards
228,14,the bass is not good. it was a good product at $79 but not at $100. i would never in a million years purchase this thing for the current price. wait until it goes back down. i think that the original one had much better sound.
229,7,love it
230,14,this was an impulse purchase but i am glad i did it.  i used to play pandora on my smart tv.  no longer.  the speaker is as good as the tv is.  i just wish my kids had one of these so i could contact them.  continually learning new features
231,4,has really changed how we organize our household. great product. our three children love it.
232,7,echo is great. keeps me company. i live alone.i may purchase another one.
233,14,new 'stuff' all the time.
234,14,"i enjoy this so much.  after a long busy night at work, i come home and say alexa playing soothing music. i am very happy with this product"
235,6,love the interface with sirius radio. good sound quality for price.  software a little quirky for some commands.  would buy again.
236,7,love it!  the sound is amazing!!
237,7,alexa is amazing we are getting fun...
238,4,my wife loved her echo.  best present i ever gave her!
239,14,the amazon echo works great with my other echo and echo dot products i have installed in my house.  i also use tp-link products with them and it controls my sony tv.  try to get them when amazon has discount sales on them for extra savings for your smart home.
240,6,works great
241,7,i get music i want all the time
242,14,awesome product!!! nothing negative to say.
243,4,love it!
244,14,this is a great tool to use for various tasks.
245,7,not happy with it at all everything we ask her she says she does not know. very unhappy that we spent money on this.
246,7,to hard to connect. it is no where easy like on tv!!! a piece of _____!!!!!!
247,14,"it is great for quick info and playing light music in the background. sound wise it will not be replacing my bose bluetooth speaker, it does not come close to that type of quality. but given the price point and versatility it is very good."
248,14,this thing is a piece of crap. constantly trying to reconnect and wont turn on. totally not worth the time or money.
249,7,not really sure still learning how to use it so far it is working good
250,7,my wife and i love all the features that it has and also the music request is always acceptable to our needs.
251,7,love it! very helpful in so many ways.
252,4,best family purchase ever!!
253,4,"i got this for my annoying 8 yr old who asks too many questions. alexa plays his favorite songs, spells out words for him, does his math homework, and tells him corny jokes. best investment ever!"
254,6,"had the first generation echo and it was good, ordered the new second generation and it is even better. shorter and wider design and better sound speaker."
255,7,"we love playing our favorite music, obtaining our calendar schedules, and getting all sorts of information just by asking."
256,14,i love it .. it was on time and totally recommend people to buy this
257,7,quick delivery!! works great! use it all the time!! thanks
258,14,"this space is not large enough to say all the great things about the echo second generation. i am discovering new things to use it for on a daily basis from setting a timer to steep my tea, getting up to date news and weather, the latest sports scores, controlling various devices around the house and many other things. five stars are not enough to rate this extremely useful product. i highly recommend to all. i will be buying several echo dots for use at home. the heather gray model blends in with every thing in my living room."
259,7,"easy to install,  great sound quality and fun."
260,14,"when i first booted it up, i tried to see if the sound was as bad as people made it out to be but it was fine. it then updated to the 420 update that some people got to fix the sound issue. now the problem is, when i ask it to play music, it¡¯ll identify the song bu then take a couple seconds to actually play it then two seconds later, it will pause and then tell me something went wrong. the song is ¡°time stand still¡± by rush if that helps at all. man amazon, you really dropped the ball on this one...update: the issue i detailed above was actually widepsread for alot of amu subscribers and is now fixed. i am now experiencing an issue with the ambient noise function where it wont switch to the noise i want. i will ask it ti play rain, it will play it and then when i ask to play thunderstorm or any other ambient noise, it will listen to me and just resume the current ambient noise. the alexa app tells me that its playing what i want, but the echo itself is still playing the current noise i want to get out of."
261,7,somewhat disappointed.  i expected a far better quality sound as compared to the original echo. that just did not happen.
262,6,echo has great sounds speakers.
263,6,works very good in the house and would recommend it to anyone!
264,7,not as nice as echo show but sound is great and very happy wih performance
265,14,i love it mainly for music and during cooking. there are quite a few times it does not even know what you¡¯re saying and sometimes can not even find a popular song. but it has cool features and keeps the kids entertained so it gets 4 stars.
266,7,does not know the answers or have information about current or forthcoming events such as dates where ncaa basket ball tournaments will be held.
267,14,it is not working so well each time a i get a email to my tablet that are connected to echo it stop it function and i have to start asking again for music or any other task echo is doingvery bad
268,14,i like it - i have an older echo in the other room. i put this one in my bedroom and use it for my wake up alarm and to play music.the sound is very good quality when playing music
269,7,"was a gift,  seems to like it alot though."
270,7,it do whatever you ask.
271,7,"i love it. i am still learning to use her, but having fun doing it. my grand kids love asking alexa questions."
272,14,nowhere near as good as the 1st generation.
273,7,hard to program for a novice!
274,7,i love my alexa she is great
275,4,we bought 3 echos.  one was for ourselves and the others are christmas presents for our children.  we love alexa!
276,7,the sound.....it was amazing for the money!  love that you can ask it anything and the answer is ready!!!
277,7,alex is my favorite device and even sounds better now!
278,7,exceeds my expectations
279,7,works great
280,14,"overall i am happy with this purchase.  this is not our first echo and i was very concerned with a lot of the reviews indicating the sound quality on the 2nd generation was bad.  when i got this echo set up and started playing music, the reviews were correct about the sound.  however, about the 3rd song in, the echo announced it received an important update and needed to restart.  after the restart completed it was a night and day difference in sound quality and was much better.  the reason i gave this 4 stars is because when i listen to the same song side by side on 1st and 2nd generation, the bass in the 1st generation echo still sounds better.  i am not saying the 2nd generation sounds bad, but amazon advertises this as having improved sound and i do not agree.  i really like some of the features the echo has if you own multiple echo is such as playing music on all your connected echo is and the drop in feature.  i would still recommend this product and not be concerned about the sound."
281,7,this is the greatest. so far so good
282,14,i currently have many different echos and this by far is the worst. i am not sure if i got a lemon and need to return but his echo never complete request. need help
283,7,its goood
284,7,great! very entertaining. loads of music. great for turning on and off lights. plan to use it alot.
