,title,review,date,yes,no
57,Good start,"Doesn't seem to have as many features as Amazon's Alexa - but off to a good start. Enjoy being able to link Spotify account, and seems better at answering questions.",11/17/2016,(64),(23)
58,,Really cool,12/30/2017,(1),(0)
59,,I like the base of the speaker and fast response to commands,2/15/2018,(0),(0)
60,Love it,"Is it better than the Amazon Echo? No not at all. Will it be better? Yes. Don't buy this device if you want it all right now. Save your money and by a echo Dot. However when  phone integration comes on line. This is going to be the hardest thing in the world to find. 

Phone integration would allow Google Home to send, and read texts or tweets or update your Facebook. Will allow you to say ""Ok Google call my wife*,  Google will know who your wife is, make the call then use itsself like a speaker. 

Amazon Echo will never be able to do that.",12/11/2016,(10),(2)
61,Google Home  not ready for prime time,"1) Apparently you must use a Phone or a tablet to set it up. Could not find a way to use a desktop PC
2) Music service not ready for prime time. If I ask it to play a well known artist. It first plays a little known song by that artist then then next 5 songs are a similar genre but by other artist or impersonators. Asked it to play some light music and it gave several songs with strong drums, clearly a millennial driven play list I guess. 

Clearly another example of a "" me too wanna be"" product being rushed to market before it was ready. Wait a year or more to buy this one or get one of the competitors products that have been around awhile if you just have to have a desktop speaker that tells the weather",12/27/2017,(1),(3)
62,Not as handy as you think,"Not as useful as this is made out to be... I mean I can see this becoming something very handy in the future. Right now it just doesn't quite do what I hoped it would do. I still feel very ""techy"" when my friends are over. But this is no personal home assistant.",8/30/2017,(65),(58)
63,Love this!!,I have purchased two of these thus year and my Mother lives hers.  The speaker is great and really gives nice full sound.  Great way to stay organized play music and listen to jokes all of the same time.  It's good to have in the kitchen for recipes.,11/27/2016,(12),(2)
64,Google Home,"I own the Alexas, which I like very much, but the HOME is also really quite good and I would recommend it also.  It doesn't have the same information as the Alexas, but what it has is quite good and worth the cost.  It's fabulous!Mr",11/18/2016,(55),(23)
65,Not good for playig music,I hate that this product constantly stops when playing music from Pandora and you have to pay to use YouTube music.,3/15/2017,(28),(10)
66,Fun and Useful,"I had a hard time choosing between the Amazon Echo and this.   The Echo has been out longer and is currently ahead of the game with compatible devices.   However,  as a long time Android user,  I like the seamless Google integration and feel the compatible device list will catch up quickly.   In the meantime,  it's easy to utilize most by creating an IFTTT applet.   The Google Home device was easy to  set up,  and I had it connected to my Hue Bridge in minutes,  and and applets created for my Lifx lights minutes later, as well as a couple of other commands.   Also,  just plain fun to ask questions of as well as useful!",12/8/2016,(6),(1)
67,OK but not great,We were at a friends who had the Amazon Alexa.  The kids had fun playing with it so we decided to get the Google because it ft our budget better and we were not going to use it for ordering things.  Alexa seems to understand questions better and have a better wit hen asked crazy things,1/11/2017,(5),(0)
68,"Love it , great addition to our family","Love it, great addition to our home",9/14/2017,(56),(54)
69,Disappointing,"This is extremely disappointing, it can only play music through google play, pandora, youtube red and Spotify,  none of which I use. So I thought I would play it on bluetooth which I soon found out it dosent have. You cant use it without wifi. And almost every question you ask it, the answer is sorry I dont know the answer to that yet.",12/25/2016,(10),(2)
70,"Good, but misses the hot word quite often","Google puts a lot of effort in upgrading it and adding new functionality. That really is promising.
I have been reading about Smart Assistants for a long time before I decided to buy one. In some sennce it did disappoint me, it actuelle quite regularly missed the 'hey Google' hot word. That really is annoying as I didn't aspect that after reading all the reviews that said it almost always works.
Still, I love it. Love speaking to a computer and have it do things for me. Love listening to music and podcasts or getting the weather, all without even touching any device. Would recommend it, but know, it's not perfect. Not even close.",12/11/2017,(1),(1)
71,"Okay for asking Qs, but novelty wears off quick","I probably had too high of expectations going in to this purchase but I was told the search engine and learning algorithms for Google are much better than the Amazon tools.  (Amazon units cost less)  I do not have an ""internet enabled house"" so I can't turn on lights or talk to my thermostat or even check the door locks.  It is kind of fun asking it what sound an eagle makes or what's the population of Christmas Island, but aside from linking it to my Pandora account to play music, it's just a very pricey toy.  
 - It is worth noting that you MUST download the Google Home app in order to program the Google Home AND it must be connected to a WiFi signal all the time.  The programming is not complicated and mostly intuitive, but that might be because all I had to do was to look up my Pandora login information again.  If I had to do this for every light, appliance or device, I might feel differently.",12/27/2016,(2),(2)
72,Beware Google Promo!!!,"Device is great but beware of the google express promo offer. Had to contact google 3 times, was made to jump through all kinds of hoops to redeem the offer. In the end was given a rebate that took 7-10 days.",1/31/2018,(0),(0)
73,HUGE glitch with Google Home!!,"Unfortunately, Google Home will randomly STOP playing music!  I have re-booted several times, tried different locations, and even purchased Spotify Premium....all to no avail.  For no reason at all, Google just stops playing a song...sometimes coming back on and sometimes not.

There are literally hundreds of customers complaining about this online!!  And customers who own both Alexa and Google are saying that they have NO music-streaming problems with Alexa.  How in the world did this product clear ""testing""??

If Google does not repair this humongous glitch within a week, I will return the product to Walmart and purchase Echo.",1/9/2017,(20),(12)
74,No 911 Calls can be made,"Sorry but that was on of the reson considering buying, maybe some day?",11/12/2017,(6),(5)
75,Google home,"Great price. Can help with so many things. So much easier than looking stuff up on the computer. Need the # to home Depot and their hours real quick? Done. Plays games with you, great selection of music, I can't say enough I did my research online to compare it to echo, and that's how I made my decision. It doesn't know everything yet, but hey, it's a computer and everyday it is updated. It's my new best friend! It actually makes you feel like you have someone there with you. I don't even refer to Google home as it, I refer to it as HER!",1/7/2017,(6),(1)
76,,"We have a lot of fun with this, asking  it questions! Love we can listen to favorite music and have it set up to make calls. If my husband falls he can yell ""Hey Google call ....."" and it does! Love it!",12/3/2017,(2),(1)
77,This is great - bring on home automation!,"Cool gadget - I really love waking up and asking Google to play me the news (and I get to choose which news source). Great to link to Spotify and ask to play playlists, or your favorite artists/tracks.

There are definitely some teething issues - Google can't do everything yet but I am super excited to see how quickly their machine learning algorithm gets better and better and more features are added to the capability. The good news here is all you will need is a software upgrade, not a new model - the speaker is also nice and puts out solid sound quality.",1/10/2018,(0),(0)
78,Very handy,"I've had GH about a week I like it, the microphones are very responsive from just about anywhere in the house as long as there is not too much background noise. Very handy in getting quick info and playing back ground music. Sound is very good as long as not played at full volume. Right now due to the lack of apps I view it as a nice 100 dollar radio with bonuses.  It is way behind the Amazon Echo in apps the reason for four stars but Google has promised they are working on that.  When that happens it'll be very useful to have in the house.  Oh yeah if you have a Chromecast stick it can cast to that as well.  If interested in such tech I'd highly recommend it.",11/28/2016,(8),(3)
79,,Everything. so easy to use,12/7/2017,(1),(0)
80,,I love it. It very helpful.,1/13/2018,(1),(2)
81,Love it,was going to get the alexa echo dot by amazon however my main use was going to be for playing music and the bass is amazon im so glad i watched a youtube comparison video on the 2! its worth the money for sure,11/27/2016,(7),(1)
82,Very Disappointed,"As I write this rwview and have just box this to take it back.  It is little more than a novelty music playback device and nothing more.  I was impressed with the music/speaker sound quality, but I was looking for and exspecting a lot more.  I wanted to be able to check movie times, make Callender appointments, phone calls, and a slew of other basic administrative thing an assistant could do, but the functionality just isn't there yet as Google home constantly tells me.  It was cool to say a song and it would play, but that's it.  Hopefully Echo Dot qill be more of what I wanted.",1/19/2017,(8),(3)
83,Forget Alexa,Works so much better than Alexa and can make phone calls,10/18/2017,(4),(2)
84,Great product,I use it mostly for answering questions. It is very fast and informative.,11/19/2016,(24),(10)
85,highly recommended,Google home product is good,1/25/2018,(0),(0)
86,good  product,hello 1234,1/25/2018,(0),(0)
87,Virtually No Security,"Google home is a well made a functional item.  However, according to google support the unit does not provide any method of locking the open (unsecure) Wi-Fi connection that is established.  I.e., any Wi-Fi device can connect to the unit.  In all fairness the vast majority of people cannot do anything with this connection.  However, call me overly cautious, a hacker may be able to gain access to the unit and potentially the home network.  

This resulted in the item being returned.  Amazon Echo's approach is to hide the units Wi-Fi once it has been set up.",12/20/2016,(18),(11)
88,,What did I like about It? What did I not like! The speaker is just awesome! Like having a surround sound system with a subwoofer all in one compact device.,1/19/2018,(0),(0)
89,,Hard to get everything setup. Little instructions inside but good sound.,1/20/2018,(0),(1)
90,Like a member of the family,"Easy to marry to my Smartphone.   The gal living in Google Home ""is still learning"" on some subjects.  Need to be precise when asking her a question.  We are still figuring out just how to do that.  She is very alert and it is like having another member of the family....a bit on the frightening side, but that is the way of the world today.  She does say ""goodnight"" in a special, and personal way, also.   So always say goodnight to her.",1/4/2018,(0),(0)
91,Don't believe the hype.,"This product isn't Bluetooth or AUX compatible.  There are NO wireless options at all.  There isn't an easy way to play music from your phone.  You need to create a google music account and transfer your files.  Product is not usable via public WIFI.

The speaker is decent",1/12/2018,(0),(0)
92,Great,"i can't live without it, I use it for spelling, math, and definitions it so easy, you will love it",10/26/2017,(4),(3)
93,pricey but useful,"Got this for my husband for Christmas. Gave my son an echo dot, so we were able to compare them side-by-side. 
Both are great for providing music for a room, which is what we use the Google for 90%. They are both great for getting general info, such as the weather. Each tells equally corny jokes when asked!
I would say that, if I had to get another, I would choose the Echo because of the price difference. I could have saved $90 and been just as happy.",1/11/2017,(3),(0)
94,Don't know how we've lived without this!,"The google home is super easy to set up and so fun to have in our kitchen area. We play music, games, ask questions and control our music in our home sound system. I don't know how we've lived without this!",1/12/2018,(0),(0)
95,Great for the family,"So convenient for watching TV, even my toddler can put his favorite shows on the TV when he wants. I use it for media, reminders, alarms, shopping list, questions, jokes, and games.",12/16/2017,(1),(1)
96,Great Awesome Gadget,"Very practical. Once you start using it you can't go without it. Now I'm looking at buying all kind of smart stuff to  make everything fun and easy to run the house. The smart lights makes everything so so much better, it gives you peace of mind.",12/12/2017,(1),(1)
97,Excellent product,"Hi I found it easy to install ,great communication and best reasonably priced ..",1/13/2018,(0),(0)
98,,Easy to install,1/15/2018,(0),(0)
99,NEEDS TO COOK SOME MORE,"The product itself is great, but needs to bake some more, small range of direct support smart devices, but if you use the Samsung SmartThings and other addons excellent device.",11/17/2016,(21),(11)
100,,"Neat little gadget, easy to setup initially. Still haven't been successful in the voice recognition. It gives me the spinning wheel forever until I cancel operation.",1/11/2018,(0),(0)
101,,Broaden capabilities to reading the Bible or other books etc.,1/13/2018,(0),(0)
102,don't  understand high  reviews,"I would not have bought this device if I knew it limits you to one account per device.   Soooo,  it only assists one person n in a family.   Seems so easy for each person to have their own prompt.  And i wouldn't have boughf it if i knew you must say okay google constantly,  Can't  change the prompt and it doesn't exactly roll off the tongue.  I over estimated  Google.   And hopes for updates are seemingly poor.   I have a 14 dollar assistant on my phone I will stick with since I missed the boat on Echo for same price before xmas.   Its a glorified speaker right now.  Since I can control tv and music with phone anyway what's  the  point worth  all  these  limitations 
 I don't  even  use ""Google  now""   on  my  phone.   Wasn't  thinking.",12/26/2016,(4),(2)
103,Its got to be Google,"I ordered the Alexa Dot from Amazon for my husband for Christmas and we got to try it out for a month. We got tired of hearing Hum, I can't help you with that. I returned it and ordered the Google Home and within the first few minutes we knew it was the right one for us. My husband is really enjoying the ease of asking for music and translations.  We are very happy with Google Home and think everyone should have one.",12/7/2016,(5),(1)
104,Very disappointed,The unit is unreliable. Speech recognition is spotty. Bought for our blind daughter to have easy access to information and it has been a huge disappointment for her.,12/30/2016,(20),(11)
105,A great addition to our home!,"The music quality is great! The variety, perfect! 
We¡¯ve had so much fun with Google Home. We are still learning but in the week we¡¯ve had this we¡¯ve had a blast with it!  
We¡¯ve been pleasantly surprised by the accuracy of the speaker, and how it recognizes our requests.  
Can¡¯t wait to learn more about it!",1/3/2018,(0),(0)
106,Sweet Home Adition,"I like that you can hook things up to control,lights,TV,music & you can communicate with it!",1/9/2018,(0),(0)
107,google home sucks,when evar i say ok google she doesn't answers till the fith time and when you ask her to put on something she plays something completely differnt.,10/26/2017,(5),(6)
108,Go Google,Very quick delivery and item was exactly what i wanted.,1/10/2018,(0),(0)
109,,"Easy to use, can be customized to my personal tastes.",1/10/2018,(0),(0)
110,Google Home Review,"This is pretty much an unnecessary item for me to purchase, but I have been enjoying it. I've customized it so that when I say ""good morning"" it tells me the weather, my time to work and the latest news.  It also will make you lazy!  I can tell it to play any playlist on Spotify- my own or one designed by them - and it will find it and play it.  Same with any Netflix show or movie.  There's more that I'm still toying around with, but I'm enjoying it so far.  There are alot of apps that haven't agreed to partner with this, and I hope that changes.",12/15/2017,(0),(0)
111,GOOGLE HOME SPEAKER,"I thought that this GOOGLE HOME SPEAKER, had WI-FI built into it , like a ROUTER.
GOOGLE HOME SPEAKER, ended up only being exactly like the Google App. on my Smartphone. You can ask it questions, but before every question, you have to say ,""O.K. GOOGLE"", or it will not work at all.
GOOGLE HOME has a MICROPHONE built into it, and you can also play YOU TUBE MUSIC from this Device.
Too expensive for a device like the Google App.!!!",12/23/2016,(44),(40)
112,Not ready for prime time,"I'm writing this in January of 2017.  Don't buy this product yet. It's not ready for prime time.  All the great things Google search does -- as implied by the family name -- does not exist yet in this product.  So there's little value here, except for perhaps the blue-tooth speaker.",1/22/2017,(3),(0)
113,Love it,Bought as a gift and I'd say it was a hit.  The entire family loves it!,9/7/2017,(4),(2)
114,,"THESE ARE LIKE AN ADULT TOE, ONCE YOU FIGURE OUT HOW TO SET IT UP AND USE IT!",1/6/2018,(0),(1)
115,Meli,The reponse time.,1/8/2018,(0),(1)
116,Good for a toy,"I am, at this point, disappointed in Google Home.  It's good for asking it things but if you have a Smart Phone  you have that.  But my WeMo lights are not supported by it, nor is my WiFi enabled TV on their list so my extra uses for it are non-existent unless they add more native programs.",11/28/2016,(3),(0)
117,Google Home,We love it. Great buy. So simple to set up and use.  We are going to buy a small one for the bedroom.,1/5/2018,(0),(0)
118,Cool gadget but has some kinks to work out,"The Google Home is a fun gadget to play around with. I don't think the technology is 100% seamless yet but it can be useful for everyday tasks. I use it to listen to podcasts and turn on Netflix shows through chrome cast instead of having to fumble with my phone. It also has a solid alarm feature. It's also nice to be able to ask it random questions that I normally would have to type in on Google. However, I find that I am often rephrasing the questions multiple times in order to get the answer I want. I think the usefulness will improve over time. Loved the easy set up though!",12/8/2017,(0),(1)
119,Great Purchase,"Ease of setting up, ease of use.  This thing can answer just about anything.",1/6/2018,(0),(0)
120,Must Have,"Its alot of fun using Google home.
My husband has it calling him Master. Lmao  but for real its a Must have for All house  holds. Also very informative.",1/3/2018,(0),(0)
121,great,great products,6/29/2017,(4),(1)
122,Love this device! my new BFF,"If you want volume, buy the  google home as the main device, and the mini for the adjacent rooms; this has a real clear and loud sound.  I love the fact that, even though my husband and child have not train it yet, the goggle home recognizes their voices(do not know their names without adding their accounts)  Now there is a male voice, but I do not like it;  Cant wait for this device to come out in spanish! I'll buy one for my mom and my sister once is out in spanish. For now, I have lots of fun!  If you want to make full use of all the features get youtube red!  It is awesome!",12/6/2017,(0),(0)
123,Happy Camper,"Easy to setup & connect to smart devices, and much more helpful with questions/searches than Alexa. (Great sound, too.) Pairs great with our Chromecasts. Now that the whole family has voice control of music, movies, thermostat and more, I'll be adding minis throughout the house.",12/28/2017,(0),(0)
124,,Awesome works for me!!,1/5/2018,(0),(0)
125,,It was so easy to set up and use!,1/5/2018,(0),(0)
126,,This was a gift for my daughter and she is thrilled with it that she convinced me to buy another one. Which I did right away,1/2/2018,(0),(0)
127,,"Its a great product that will amaze you with what it can do. Keep it in the kitchen/living room so it helps with measurements for recipes, quick questions, what time stores close so you can run out. Of course it's not perfect and frequently doesn't understand what you're looking for, but I still found it worthwhile to give a second as a gift to my parents.",12/23/2017,(0),(0)
128,Great Device,This is a useful and fun device. Great for hands free productivity in the kitchen. Also a great music device. The kids love asking it questions!,12/2/2017,(1),(1)
129,Easy & fun to use!,We loved this thing so much we bought 2 more as gift to family members for Christmas.  Fun for playing music around the house and videos on our TV.  Love the weather and commute info in the morning.,11/29/2016,(3),(0)
130,Disappointed,We ask GH very simple questions and cannot get a correct answer.  Sometimes we get an answer and it's so long winded we are telling it to stop.  Returning this product.,2/27/2017,(10),(5)
131,Google Home,easy to set up and work with,1/3/2018,(0),(0)
132,"Google-better AI/intelligence, Echo-better sound","The google home AI/intelligence is way better than echo.  I have both and the home is a much smarter device.  All I get from my echo is ""I'm sorry, I don't know the answer to that question"".  

If it is primarily for music, the echo has a better speaker, better sound.  
If it is for automation or you have kids asking about dinosaurs or why the sky is blue, random things, google is way better.",12/19/2017,(0),(0)
133,Great Product,Easiest way to get the weather and phone numbers and how to spell words. It works great to hear what is on my google calendar,12/8/2016,(3),(0)
134,Amazing!!,"This thing won't bake cookies but it can call your mom! I loved it so much I bought one for my mother. She hasn't learned how to surf the net yet, but after I set it up, can use it with ease. She asks it questions all the time!",12/27/2017,(0),(0)
135,Google Home,It¡¯s fine. Works like it says. Just don¡¯t have a big need for it.,12/31/2017,(0),(0)
136,Goggle home,Compact and ease of set up.,1/1/2018,(0),(0)
137,,Bought this for my niece as a Christmas present and she loves it! Highly recommend.,12/31/2017,(0),(0)
138,Learning,I am still learning how to use it.,1/1/2018,(0),(0)
139,Google Home,"Gave two as gifts recipients liked them,easy to set up. Shipping was free and super fast!!",12/30/2017,(0),(0)
140,,"Works great.  My 8 year old loves asking questions.  It's responses are fast.  The speaker is good, we use pandora.  Can distinguish between voices well.  Highly recommended.",12/27/2017,(0),(0)
141,great item,"really cool item, nothing bad at all about it",7/21/2017,(12),(11)
142,Google,Easy setup and super fast learning curve,12/30/2017,(0),(0)
143,Very Smart assistant,Very smart assistant. Makes tasks like playing videos in YouTube and Netflix a breeze.,12/29/2017,(0),(0)
144,Awesome buy,The quality of the product,12/30/2017,(0),(0)
145,Google home is apart of our family,We love Google home,12/30/2017,(0),(0)
146,,"Awesome product, far better than the Amazon Eco.",12/29/2017,(0),(0)
147,Mostlty sucks,"I have no idea why folks love it ... the voice recognition is t rrific, ev rything else sucks. The app is one of the worst i have ever used, unintuitive and completely lacking in functionality, none of my music services are supported, and there isnt much besides music i would use it for. I keep thinking i must be missing a hidden feature set!

Im writing this because i just wanted to play a song - google doesnt recognize this well known pop song so i thought id type it in manually in a search box ... good luck with that, there is no music interface and so no search!",8/20/2017,(8),(14)
148,Wow...,Had an Amazon Echo that couldn't answer or do anything that we wanted. Upgraded to this and it does everything we want it to and more.,10/7/2017,(1),(0)
149,Works Awesome,"Picked a couple up to bring back to Canada, got one for my mother in her fifties for her birthday and she loves it!",11/17/2016,(14),(8)
150,,Sometimes its a little slow and get stuck. otherwise it works well and it is fun to have around the house!,12/8/2017,(1),(2)
151,ok google,This speaker has more definition than my Bose speakers.  For its size it pounds out the super sound.  Bass is excellent with super highs.  For a hundred dollars its a plus...Beats amazon in sound.,10/2/2017,(1),(0)
152,"Bye-bye Alexa, OK Google","If you're Android family like us. It makes the most sense to use Google Home. Why Google is better than Amazon for Android users? * Better integration with your google phone, calendar, google apps etc. * Remembers context of your questions, such as Google what's on calendar this week? (your trip to Portland); Google will I need a jacket ""THERE""? Google knows you're talking about Portland, whereas Alexa gets dumbfounded! * When playing loud music, Google picks up the ""OK google"" command from across the room; whereas Alexa is a lost cause once you turn up the volume and you're far away. CONS: *Google still doesn't have as many partners to integrate light bulbs, locks, thermostats etc. I purchased Ecobee and use it via Smarthings or IFTT. Integration with other devices is just a matter of time. So if you're big into getting Alexa to turn lights ON/OFF today, you should look towards Alexa :)",3/14/2017,(0),(0)
153,Love this,"I love having this for my home. Its very easy to set up, pretty cool device",12/27/2017,(0),(0)
154,,WONDERFUL product!!!!,12/28/2017,(0),(0)
155,,Works great and arrived in good condition. Wife and kids love it!,12/27/2017,(0),(0)
156,Great gadget,I love the design and interaction with Google Home. The responses are much better than Alexia and the music sounds better as well. The one area I wish they would improve is the microphone sensitivity.  It does not respond or hear you as well as the Amazon products.,12/20/2017,(0),(1)
157,So much fun,"I have only had Google Home for two days, but it is living up to my expectations so far.",12/26/2017,(0),(0)
158,,just what I wanted,12/27/2017,(0),(0)
159,I would recommend product,Who doesn't love Google Home! Was a great Christmas Gift,12/26/2017,(0),(0)
160,,it can give me answers to weather,12/26/2017,(0),(0)
161,The best Smart product,Excellent product. I recommend. I¡¯m enjoying everyday.,12/24/2017,(0),(0)
162,,I m getting it for Christmas so haven¡¯t used it yet but I am excited about the possibilities!!,12/23/2017,(0),(0)
163,,The fact that it responds so quickly!,12/24/2017,(0),(0)
164,,"what it does, and ease of setting it up.",12/24/2017,(0),(0)
165,,My granddaughter wants this for Christmas. I love it. It is educational as well as fun.,12/22/2017,(0),(0)
166,,I love it. But can not get the 25.00  that you had offered. Was going to buy another one with that 25.00 for our son,12/21/2017,(0),(0)
167,Cute,We have linked it to our kitchen light switch and works awesomely. Only downer is we can use certain radio stations that are our go to. Have to subscribe to Google music to have all access to music. You can use with pandora but haven¡¯t had too log to see what else it can do.,12/15/2017,(0),(0)
168,U Need This,Best product ever,12/24/2017,(0),(0)
169,,The speakers were very good and the call my phone feature is very helpful. Linking it to other music stations is also very good. It received 4 stars because you have to subscribe to Google Play Music to listen to a music album.,12/17/2017,(0),(0)
170,A POOR COPY OF THE ECHO,"I have had an Echo and an Echo Dot and been very happy.
The lack of apps for the Home is disappointing .

But what I find the most irritating is having to say
"" OK GOOGLE "" time after time.
 Having to say "" OK GOOGLE "" over and over becomes a real pain.",11/22/2016,(34),(33)
171,,Everything about it . its very cool .,12/22/2017,(0),(0)
172,,I love it!   Speaker is so much better than the echo.,12/21/2017,(0),(0)
173,"Excellent choice, better than expected","Excellent choice, bought it to compare to my current Amazon Alexa, the Google is far more  intelligent, responsive, outruns Alexa by far....

with one exception, the sound quality of the Amazon Alexa is superior in quality and louder, which is not a big factor after all.",1/11/2017,(4),(1)
174,Awesome,"Every operation is just so easy, the sound quality is amazing, and the microphone picks up my voice through other sounds quite easily. If I speak too soft however (""snooze for 5 more minutes"" in the morning, for example) it doesn't always catch it (it's about 3 yards away from my bed). But when I call it from the other room loud enough (not shouting, just putting up a loud voice) it hears me.",12/6/2017,(0),(0)
175,,"Corners of the items box were damaged like it had been dropped, the delivery box wasn¡¯t damaged which leads be to believe it didn¡¯t be happen during delivery. I haven¡¯t opened it because it¡¯s a gift so I¡¯ve saved my receipt incase it doesn¡¯t work. Other than that I love the product itself.",12/12/2017,(0),(1)
176,good quality,it's amazing product home sound good quality   thank you for google !,12/20/2017,(0),(0)
177,Great,Excellent voice recognition.,11/25/2016,(6),(2)
178,,We love it. We bought another one for our parents. They love it and enjoy listing to music and asking it questions.,12/3/2017,(1),(3)
179,Not enough information on what thos does,"what you are not told is that you need to subscribe to get music you want to something like Pandora and definitely to youtube. so if you want to know some things like the weather, time and som recipes this is fine. A lot of questions will direct you to a web site so have paper and pen ready. We returned it after one week.",12/9/2017,(0),(1)
180,Love It!,"So this was my Christmas present to myself, hook up was very easy which I appreciate. I haven't used it a lot but the little bit that I have I absolutely love it. I can't wait to get my smart plug in's hooked up to it. I think the sale price was the best part and the real reason I bought it. Can't wait to see all it can do. Very happy with my purchase.",12/7/2017,(0),(0)
181,"Customer Service by Google,, questionable","first unir bad out of the box, Google techs were NO help. Had to get supervisor to resolve problem which was to admit unit was BAD. Supervisor agreed to change out the unit but never got the email Google said they would send with information..  FINALLY took unit back to local Walmart and got a new one. Have not hooked up the new one yet.",12/8/2017,(0),(0)
182,Google Home is a process.,"We've just had Google Home for a week and are having communication problems.  We have to ask a question in a way it understands.  We are learning and so is Google Home!
We were specifically interested in help with difficult crosswords clues  and that has not yet been done.  So, this is a process and we are just starting.",12/9/2017,(0),(1)
183,,You can have the TV on and it hears you. I like that it has two voices to choose from.  Excited to control a lamp by voice too.,12/17/2017,(0),(0)
184,,"Sound and ease of use AFTER installation.  I did have significant problems in getting started,however.  Mostly on getting my Wi-Fi synchronized with my i-6 phone and the new Google Home........needed outside help...... Much of this problem was my own unfamiliarity with the phone.....new to me.

John C",12/9/2017,(0),(0)
185,Happy with purchase,Delivery was good.  Arrived in perfect condition.  Just learning to use Google home but so far I love i,12/17/2017,(0),(0)
186,Google Home,"This is a gift, but I have one. It could be better and do things the other (?) product does. It does sync with my nest so that's why I gave it a 4 star",12/15/2017,(0),(0)
187,Greatest price ever!!!!,I bought this for a friend that raved about ours.  The price was incredible.  I know they will enjoy it.  It is a great product.,12/15/2017,(0),(0)
188,,"Very intuitive, easy to set up.",12/18/2017,(0),(0)
189,,It doesn¡¯t respond With as much information as alexa,12/17/2017,(0),(0)
190,Cool toy for an adult.,"Very responsive.  Way too responsive even if I wasnt the one saying ""hey google"" or ""ok google"".  It even responds and reacts to google commercials on tv.",12/13/2017,(0),(0)
191,Home is great!,"Great voice recognition technology, fun voice-activated games, and ability to link music streaming accounts make this a really great gadget.  The sound quality out of the big speaker is also really great.",12/11/2017,(0),(0)
192,,All about it .  Need to add lighting now!,12/17/2017,(0),(0)
193,,Great helper,12/17/2017,(0),(0)
194,Nice product with very  poor Setup App,"Google Home is a fun device and I would readily recommend & give it 5 stars IF the Setup App worked properly.  While the Setup App is easy to use, it simply does not work properly.  It refused to connect to my wireless router -  I finally had to connect it to another one.  I followed the instructions in the Setup App exactly as indicated, but still had to run it 3 times, reboot the Home device, and wait about 30 minutes before it suddenly began working.   Frankly, I expecte MUCH better from Google.  Perhaps an Amazon Echo would have been a better choice.",12/7/2016,(3),(1)
195,,"Everything!  We haven't had it long enough to put all the features to use yet, but this is going to be great!  Love the question answering, playing music of my choice, finding the cell phone when we misplace it, and making hands-free phone calls.  It also selects the Netflix programs we want to watch.",12/6/2017,(0),(0)
196,,"Fun to chat with Goog.  But, the absence of instructions causes concern.  For example, How to add a grocery list, how to know that it is linked to my phone to check appointments.  There are other areas that there are no explanations on how to get there.",12/9/2017,(0),(0)
197,,I love electronics but didn¡¯t know what I could use this for. I have a five year old that asks me to spell things ALL THE TIME!  Now he can have google spell anything anytime! LOL it also worked with our WeMo switches and some of our other electronics. It¡¯s awesome and don¡¯t know what I did without it!,12/5/2017,(0),(0)
198,Love these,I have 4 now and I'm sure more to equip each room with one.,11/23/2016,(9),(5)
199,Great product,Google home really is amazing. Get one and be blown away.,11/22/2016,(9),(5)
200,,So excited to find Google Home at a great price at Sams Club and ordering was so easy.,12/13/2017,(0),(0)
201,Google Home get one.,Google home is great. Manages my chromecast and hue lights. And answers questions.,12/13/2017,(0),(0)
202,Gift,Can't really give a review for this product will be a Christmas gift.  It looks nice but didn't really try it.,12/12/2017,(0),(1)
203,Google Home not nearly as good as Amazon Echo,Not nearly as good as my Amazon Echo. Frequently doesn't understand simple requests. Google really needs to up the speech algorithms they use. The only reason I keep it is because it can (with many many requests reworded in different ways) play the my music from Google Play. Otherwise I would have returned it by now.,12/2/2017,(0),(1)
204,Almost There,"It's clear that Google released Google Home before it was completely ready but it is also clear that it will eventually do a lot more than it does today.  Useful right out of the box but missing some basic functions (like reminders) and it does not work with as many home automation devices as Alexa. Nevertheless, I bought this because it is powered by Google and. let's face it, they are the 800 lb Gorilla of information.  I ask this things tons of questions on a daily basis and it is generally helpful (though not 100%).

I recommend using IFTTT with is as it extends its functionality quite nicely.  Works well with my Harmony remote using IFTTT.  

Add a few more functions and I give it that missing fifth star.",1/17/2017,(1),(0)
205,Love it!,"It's on right now. It's becoming a sidekick, although it shuts itself down without reason and doesn't know why.",12/11/2017,(0),(0)
206,Welcome to the Future,"This device is absolutely amazing. The interface of voice is getting more popular simply because it is just so easy to use. Having this device around as an adult lot of value to my life, and it helps me to be way more efficient.",12/6/2017,(0),(0)
207,,Convenient and easy to use,12/13/2017,(0),(0)
208,,Stylish degign,12/13/2017,(0),(0)
